municipio,trimestre,Condição de ocupação,quantidade de condição de ocupação
Porto Velho (RO),1º trimestre 2012,Força de trabalho,221
Porto Velho (RO),1º trimestre 2012,Força de trabalho - ocupada,201
Porto Velho (RO),1º trimestre 2012,Força de trabalho - desocupada,20
Porto Velho (RO),1º trimestre 2012,Fora da força de trabalho,120
Porto Velho (RO),2º trimestre 2012,Força de trabalho,215
Porto Velho (RO),2º trimestre 2012,Força de trabalho - ocupada,198
Porto Velho (RO),2º trimestre 2012,Força de trabalho - desocupada,17
Porto Velho (RO),2º trimestre 2012,Fora da força de trabalho,125
Porto Velho (RO),3º trimestre 2012,Força de trabalho,219
Porto Velho (RO),3º trimestre 2012,Força de trabalho - ocupada,205
Porto Velho (RO),3º trimestre 2012,Força de trabalho - desocupada,14
Porto Velho (RO),3º trimestre 2012,Fora da força de trabalho,129
Porto Velho (RO),4º trimestre 2012,Força de trabalho,221
Porto Velho (RO),4º trimestre 2012,Força de trabalho - ocupada,209
Porto Velho (RO),4º trimestre 2012,Força de trabalho - desocupada,12
Porto Velho (RO),4º trimestre 2012,Fora da força de trabalho,126
Porto Velho (RO),1º trimestre 2013,Força de trabalho,226
Porto Velho (RO),1º trimestre 2013,Força de trabalho - ocupada,212
Porto Velho (RO),1º trimestre 2013,Força de trabalho - desocupada,14
Porto Velho (RO),1º trimestre 2013,Fora da força de trabalho,129
Porto Velho (RO),2º trimestre 2013,Força de trabalho,221
Porto Velho (RO),2º trimestre 2013,Força de trabalho - ocupada,212
Porto Velho (RO),2º trimestre 2013,Força de trabalho - desocupada,9
Porto Velho (RO),2º trimestre 2013,Fora da força de trabalho,133
Porto Velho (RO),3º trimestre 2013,Força de trabalho,223
Porto Velho (RO),3º trimestre 2013,Força de trabalho - ocupada,212
Porto Velho (RO),3º trimestre 2013,Força de trabalho - desocupada,11
Porto Velho (RO),3º trimestre 2013,Fora da força de trabalho,134
Porto Velho (RO),4º trimestre 2013,Força de trabalho,229
Porto Velho (RO),4º trimestre 2013,Força de trabalho - ocupada,217
Porto Velho (RO),4º trimestre 2013,Força de trabalho - desocupada,12
