municipio,trimestre,Nivel de Instrução,quantidade de escolaridade
Porto Velho (RO),1º trimestre 2012,Sem instrução e menos de 1 ano de estudo,13.0
Porto Velho (RO),1º trimestre 2012,Ensino fundamental incompleto ou equivalente,97.0
Porto Velho (RO),1º trimestre 2012,Ensino fundamental completo ou equivalente,47.0
Porto Velho (RO),1º trimestre 2012,Ensino médio incompleto ou equivalente,30.0
Porto Velho (RO),1º trimestre 2012,Ensino médio completo ou equivalente,96.0
Porto Velho (RO),1º trimestre 2012,Ensino superior incompleto ou equivalente,24.0
Porto Velho (RO),1º trimestre 2012,Ensino superior completo ou equivalente,34.0
Porto Velho (RO),1º trimestre 2012,Não determinado,0.0
Porto Velho (RO),2º trimestre 2012,Sem instrução e menos de 1 ano de estudo,19.0
Porto Velho (RO),2º trimestre 2012,Ensino fundamental incompleto ou equivalente,97.0
Porto Velho (RO),2º trimestre 2012,Ensino fundamental completo ou equivalente,45.0
Porto Velho (RO),2º trimestre 2012,Ensino médio incompleto ou equivalente,26.0
Porto Velho (RO),2º trimestre 2012,Ensino médio completo ou equivalente,99.0
Porto Velho (RO),2º trimestre 2012,Ensino superior incompleto ou equivalente,21.0
Porto Velho (RO),2º trimestre 2012,Ensino superior completo ou equivalente,32.0
Porto Velho (RO),2º trimestre 2012,Não determinado,0.0
Porto Velho (RO),3º trimestre 2012,Sem instrução e menos de 1 ano de estudo,20.0
Porto Velho (RO),3º trimestre 2012,Ensino fundamental incompleto ou equivalente,98.0
Porto Velho (RO),3º trimestre 2012,Ensino fundamental completo ou equivalente,41.0
Porto Velho (RO),3º trimestre 2012,Ensino médio incompleto ou equivalente,28.0
Porto Velho (RO),3º trimestre 2012,Ensino médio completo ou equivalente,103.0
Porto Velho (RO),3º trimestre 2012,Ensino superior incompleto ou equivalente,23.0
Porto Velho (RO),3º trimestre 2012,Ensino superior completo ou equivalente,36.0
Porto Velho (RO),3º trimestre 2012,Não determinado,0.0
Porto Velho (RO),4º trimestre 2012,Sem instrução e menos de 1 ano de estudo,19.0
Porto Velho (RO),4º trimestre 2012,Ensino fundamental incompleto ou equivalente,107.0
Porto Velho (RO),4º trimestre 2012,Ensino fundamental completo ou equivalente,32.0
Porto Velho (RO),4º trimestre 2012,Ensino médio incompleto ou equivalente,30.0
Porto Velho (RO),4º trimestre 2012,Ensino médio completo ou equivalente,103.0
Porto Velho (RO),4º trimestre 2012,Ensino superior incompleto ou equivalente,22.0
Porto Velho (RO),4º trimestre 2012,Ensino superior completo ou equivalente,33.0
Porto Velho (RO),4º trimestre 2012,Não determinado,0.0
Porto Velho (RO),1º trimestre 2013,Sem instrução e menos de 1 ano de estudo,21.0
Porto Velho (RO),1º trimestre 2013,Ensino fundamental incompleto ou equivalente,104.0
Porto Velho (RO),1º trimestre 2013,Ensino fundamental completo ou equivalente,42.0
Porto Velho (RO),1º trimestre 2013,Ensino médio incompleto ou equivalente,32.0
Porto Velho (RO),1º trimestre 2013,Ensino médio completo ou equivalente,100.0
Porto Velho (RO),1º trimestre 2013,Ensino superior incompleto ou equivalente,23.0
Porto Velho (RO),1º trimestre 2013,Ensino superior completo ou equivalente,32.0
Porto Velho (RO),1º trimestre 2013,Não determinado,0.0
Porto Velho (RO),2º trimestre 2013,Sem instrução e menos de 1 ano de estudo,19.0
Porto Velho (RO),2º trimestre 2013,Ensino fundamental incompleto ou equivalente,101.0
Porto Velho (RO),2º trimestre 2013,Ensino fundamental completo ou equivalente,41.0
Porto Velho (RO),2º trimestre 2013,Ensino médio incompleto ou equivalente,29.0
Porto Velho (RO),2º trimestre 2013,Ensino médio completo ou equivalente,109.0
Porto Velho (RO),2º trimestre 2013,Ensino superior incompleto ou equivalente,23.0
Porto Velho (RO),2º trimestre 2013,Ensino superior completo ou equivalente,32.0
Porto Velho (RO),2º trimestre 2013,Não determinado,0.0
Porto Velho (RO),3º trimestre 2013,Sem instrução e menos de 1 ano de estudo,22.0
Porto Velho (RO),3º trimestre 2013,Ensino fundamental incompleto ou equivalente,95.0
Porto Velho (RO),3º trimestre 2013,Ensino fundamental completo ou equivalente,53.0
Porto Velho (RO),3º trimestre 2013,Ensino médio incompleto ou equivalente,28.0
Porto Velho (RO),3º trimestre 2013,Ensino médio completo ou equivalente,103.0
Porto Velho (RO),3º trimestre 2013,Ensino superior incompleto ou equivalente,20.0
Porto Velho (RO),3º trimestre 2013,Ensino superior completo ou equivalente,36.0
Porto Velho (RO),3º trimestre 2013,Não determinado,0.0
Porto Velho (RO),4º trimestre 2013,Sem instrução e menos de 1 ano de estudo,21.0
Porto Velho (RO),4º trimestre 2013,Ensino fundamental incompleto ou equivalente,93.0
Porto Velho (RO),4º trimestre 2013,Ensino fundamental completo ou equivalente,54.0
Porto Velho (RO),4º trimestre 2013,Ensino médio incompleto ou equivalente,27.0
Porto Velho (RO),4º trimestre 2013,Ensino médio completo ou equivalente,110.0
Porto Velho (RO),4º trimestre 2013,Ensino superior incompleto ou equivalente,23.0
Porto Velho (RO),4º trimestre 2013,Ensino superior completo ou equivalente,35.0
Porto Velho (RO),4º trimestre 2013,Não determinado,0.0
Porto Velho (RO),1º trimestre 2014,Sem instrução e menos de 1 ano de estudo,18.0
Porto Velho (RO),1º trimestre 2014,Ensino fundamental incompleto ou equivalente,100.0
Porto Velho (RO),1º trimestre 2014,Ensino fundamental completo ou equivalente,45.0
Porto Velho (RO),1º trimestre 2014,Ensino médio incompleto ou equivalente,30.0
Porto Velho (RO),1º trimestre 2014,Ensino médio completo ou equivalente,105.0
Porto Velho (RO),1º trimestre 2014,Ensino superior incompleto ou equivalente,24.0
Porto Velho (RO),1º trimestre 2014,Ensino superior completo ou equivalente,36.0
Porto Velho (RO),1º trimestre 2014,Não determinado,0.0
Porto Velho (RO),2º trimestre 2014,Sem instrução e menos de 1 ano de estudo,16.0
Porto Velho (RO),2º trimestre 2014,Ensino fundamental incompleto ou equivalente,100.0
Porto Velho (RO),2º trimestre 2014,Ensino fundamental completo ou equivalente,52.0
Porto Velho (RO),2º trimestre 2014,Ensino médio incompleto ou equivalente,29.0
Porto Velho (RO),2º trimestre 2014,Ensino médio completo ou equivalente,113.0
Porto Velho (RO),2º trimestre 2014,Ensino superior incompleto ou equivalente,20.0
Porto Velho (RO),2º trimestre 2014,Ensino superior completo ou equivalente,34.0
Porto Velho (RO),2º trimestre 2014,Não determinado,0.0
Porto Velho (RO),3º trimestre 2014,Sem instrução e menos de 1 ano de estudo,17.0
Porto Velho (RO),3º trimestre 2014,Ensino fundamental incompleto ou equivalente,106.0
Porto Velho (RO),3º trimestre 2014,Ensino fundamental completo ou equivalente,50.0
Porto Velho (RO),3º trimestre 2014,Ensino médio incompleto ou equivalente,31.0
Porto Velho (RO),3º trimestre 2014,Ensino médio completo ou equivalente,112.0
Porto Velho (RO),3º trimestre 2014,Ensino superior incompleto ou equivalente,22.0
Porto Velho (RO),3º trimestre 2014,Ensino superior completo ou equivalente,35.0
Porto Velho (RO),3º trimestre 2014,Não determinado,0.0
Porto Velho (RO),4º trimestre 2014,Sem instrução e menos de 1 ano de estudo,19.0
Porto Velho (RO),4º trimestre 2014,Ensino fundamental incompleto ou equivalente,111.0
Porto Velho (RO),4º trimestre 2014,Ensino fundamental completo ou equivalente,43.0
Porto Velho (RO),4º trimestre 2014,Ensino médio incompleto ou equivalente,31.0
Porto Velho (RO),4º trimestre 2014,Ensino médio completo ou equivalente,112.0
Porto Velho (RO),4º trimestre 2014,Ensino superior incompleto ou equivalente,20.0
Porto Velho (RO),4º trimestre 2014,Ensino superior completo ou equivalente,35.0
Porto Velho (RO),4º trimestre 2014,Não determinado,0.0
Porto Velho (RO),1º trimestre 2015,Sem instrução e menos de 1 ano de estudo,19.0
Porto Velho (RO),1º trimestre 2015,Ensino fundamental incompleto ou equivalente,99.0
Porto Velho (RO),1º trimestre 2015,Ensino fundamental completo ou equivalente,45.0
Porto Velho (RO),1º trimestre 2015,Ensino médio incompleto ou equivalente,27.0
Porto Velho (RO),1º trimestre 2015,Ensino médio completo ou equivalente,116.0
Porto Velho (RO),1º trimestre 2015,Ensino superior incompleto ou equivalente,27.0
Porto Velho (RO),1º trimestre 2015,Ensino superior completo ou equivalente,41.0
Porto Velho (RO),1º trimestre 2015,Não determinado,0.0
Porto Velho (RO),2º trimestre 2015,Sem instrução e menos de 1 ano de estudo,17.0
Porto Velho (RO),2º trimestre 2015,Ensino fundamental incompleto ou equivalente,109.0
Porto Velho (RO),2º trimestre 2015,Ensino fundamental completo ou equivalente,38.0
Porto Velho (RO),2º trimestre 2015,Ensino médio incompleto ou equivalente,33.0
Porto Velho (RO),2º trimestre 2015,Ensino médio completo ou equivalente,114.0
Porto Velho (RO),2º trimestre 2015,Ensino superior incompleto ou equivalente,26.0
Porto Velho (RO),2º trimestre 2015,Ensino superior completo ou equivalente,38.0
Porto Velho (RO),2º trimestre 2015,Não determinado,0.0
Porto Velho (RO),3º trimestre 2015,Sem instrução e menos de 1 ano de estudo,16.0
Porto Velho (RO),3º trimestre 2015,Ensino fundamental incompleto ou equivalente,106.0
Porto Velho (RO),3º trimestre 2015,Ensino fundamental completo ou equivalente,41.0
Porto Velho (RO),3º trimestre 2015,Ensino médio incompleto ou equivalente,34.0
Porto Velho (RO),3º trimestre 2015,Ensino médio completo ou equivalente,111.0
Porto Velho (RO),3º trimestre 2015,Ensino superior incompleto ou equivalente,24.0
Porto Velho (RO),3º trimestre 2015,Ensino superior completo ou equivalente,42.0
Porto Velho (RO),3º trimestre 2015,Não determinado,0.0
Porto Velho (RO),4º trimestre 2015,Sem instrução e menos de 1 ano de estudo,26.0
Porto Velho (RO),4º trimestre 2015,Ensino fundamental incompleto ou equivalente,96.0
Porto Velho (RO),4º trimestre 2015,Ensino fundamental completo ou equivalente,45.0
Porto Velho (RO),4º trimestre 2015,Ensino médio incompleto ou equivalente,32.0
Porto Velho (RO),4º trimestre 2015,Ensino médio completo ou equivalente,119.0
Porto Velho (RO),4º trimestre 2015,Ensino superior incompleto ou equivalente,21.0
Porto Velho (RO),4º trimestre 2015,Ensino superior completo ou equivalente,41.0
Porto Velho (RO),4º trimestre 2015,Não determinado,0.0
Porto Velho (RO),1º trimestre 2016,Sem instrução e menos de 1 ano de estudo,21.0
Porto Velho (RO),1º trimestre 2016,Ensino fundamental incompleto ou equivalente,98.0
Porto Velho (RO),1º trimestre 2016,Ensino fundamental completo ou equivalente,39.0
Porto Velho (RO),1º trimestre 2016,Ensino médio incompleto ou equivalente,35.0
Porto Velho (RO),1º trimestre 2016,Ensino médio completo ou equivalente,117.0
Porto Velho (RO),1º trimestre 2016,Ensino superior incompleto ou equivalente,22.0
Porto Velho (RO),1º trimestre 2016,Ensino superior completo ou equivalente,50.0
Porto Velho (RO),1º trimestre 2016,Não determinado,0.0
Porto Velho (RO),2º trimestre 2016,Sem instrução e menos de 1 ano de estudo,22.0
Porto Velho (RO),2º trimestre 2016,Ensino fundamental incompleto ou equivalente,103.0
Porto Velho (RO),2º trimestre 2016,Ensino fundamental completo ou equivalente,40.0
Porto Velho (RO),2º trimestre 2016,Ensino médio incompleto ou equivalente,29.0
Porto Velho (RO),2º trimestre 2016,Ensino médio completo ou equivalente,113.0
Porto Velho (RO),2º trimestre 2016,Ensino superior incompleto ou equivalente,23.0
Porto Velho (RO),2º trimestre 2016,Ensino superior completo ou equivalente,50.0
Porto Velho (RO),2º trimestre 2016,Não determinado,0.0
Porto Velho (RO),3º trimestre 2016,Sem instrução e menos de 1 ano de estudo,24.0
Porto Velho (RO),3º trimestre 2016,Ensino fundamental incompleto ou equivalente,100.0
Porto Velho (RO),3º trimestre 2016,Ensino fundamental completo ou equivalente,41.0
Porto Velho (RO),3º trimestre 2016,Ensino médio incompleto ou equivalente,27.0
Porto Velho (RO),3º trimestre 2016,Ensino médio completo ou equivalente,110.0
Porto Velho (RO),3º trimestre 2016,Ensino superior incompleto ou equivalente,23.0
Porto Velho (RO),3º trimestre 2016,Ensino superior completo ou equivalente,50.0
Porto Velho (RO),3º trimestre 2016,Não determinado,0.0
Porto Velho (RO),4º trimestre 2016,Sem instrução e menos de 1 ano de estudo,22.0
Porto Velho (RO),4º trimestre 2016,Ensino fundamental incompleto ou equivalente,101.0
Porto Velho (RO),4º trimestre 2016,Ensino fundamental completo ou equivalente,38.0
Porto Velho (RO),4º trimestre 2016,Ensino médio incompleto ou equivalente,26.0
Porto Velho (RO),4º trimestre 2016,Ensino médio completo ou equivalente,119.0
Porto Velho (RO),4º trimestre 2016,Ensino superior incompleto ou equivalente,24.0
Porto Velho (RO),4º trimestre 2016,Ensino superior completo ou equivalente,52.0
Porto Velho (RO),4º trimestre 2016,Não determinado,0.0
Porto Velho (RO),1º trimestre 2017,Sem instrução e menos de 1 ano de estudo,22.0
Porto Velho (RO),1º trimestre 2017,Ensino fundamental incompleto ou equivalente,102.0
Porto Velho (RO),1º trimestre 2017,Ensino fundamental completo ou equivalente,40.0
Porto Velho (RO),1º trimestre 2017,Ensino médio incompleto ou equivalente,28.0
Porto Velho (RO),1º trimestre 2017,Ensino médio completo ou equivalente,121.0
Porto Velho (RO),1º trimestre 2017,Ensino superior incompleto ou equivalente,22.0
Porto Velho (RO),1º trimestre 2017,Ensino superior completo ou equivalente,46.0
Porto Velho (RO),1º trimestre 2017,Não determinado,0.0
Porto Velho (RO),2º trimestre 2017,Sem instrução e menos de 1 ano de estudo,18.0
Porto Velho (RO),2º trimestre 2017,Ensino fundamental incompleto ou equivalente,99.0
Porto Velho (RO),2º trimestre 2017,Ensino fundamental completo ou equivalente,38.0
Porto Velho (RO),2º trimestre 2017,Ensino médio incompleto ou equivalente,40.0
Porto Velho (RO),2º trimestre 2017,Ensino médio completo ou equivalente,113.0
Porto Velho (RO),2º trimestre 2017,Ensino superior incompleto ou equivalente,28.0
Porto Velho (RO),2º trimestre 2017,Ensino superior completo ou equivalente,51.0
Porto Velho (RO),2º trimestre 2017,Não determinado,0.0
Porto Velho (RO),3º trimestre 2017,Sem instrução e menos de 1 ano de estudo,17.0
Porto Velho (RO),3º trimestre 2017,Ensino fundamental incompleto ou equivalente,103.0
Porto Velho (RO),3º trimestre 2017,Ensino fundamental completo ou equivalente,30.0
Porto Velho (RO),3º trimestre 2017,Ensino médio incompleto ou equivalente,41.0
Porto Velho (RO),3º trimestre 2017,Ensino médio completo ou equivalente,117.0
Porto Velho (RO),3º trimestre 2017,Ensino superior incompleto ou equivalente,25.0
Porto Velho (RO),3º trimestre 2017,Ensino superior completo ou equivalente,54.0
Porto Velho (RO),3º trimestre 2017,Não determinado,0.0
Porto Velho (RO),4º trimestre 2017,Sem instrução e menos de 1 ano de estudo,12.0
Porto Velho (RO),4º trimestre 2017,Ensino fundamental incompleto ou equivalente,101.0
Porto Velho (RO),4º trimestre 2017,Ensino fundamental completo ou equivalente,33.0
Porto Velho (RO),4º trimestre 2017,Ensino médio incompleto ou equivalente,38.0
Porto Velho (RO),4º trimestre 2017,Ensino médio completo ou equivalente,117.0
Porto Velho (RO),4º trimestre 2017,Ensino superior incompleto ou equivalente,31.0
Porto Velho (RO),4º trimestre 2017,Ensino superior completo ou equivalente,61.0
Porto Velho (RO),4º trimestre 2017,Não determinado,0.0
Porto Velho (RO),1º trimestre 2018,Sem instrução e menos de 1 ano de estudo,13.0
Porto Velho (RO),1º trimestre 2018,Ensino fundamental incompleto ou equivalente,99.0
Porto Velho (RO),1º trimestre 2018,Ensino fundamental completo ou equivalente,30.0
Porto Velho (RO),1º trimestre 2018,Ensino médio incompleto ou equivalente,36.0
Porto Velho (RO),1º trimestre 2018,Ensino médio completo ou equivalente,126.0
Porto Velho (RO),1º trimestre 2018,Ensino superior incompleto ou equivalente,32.0
Porto Velho (RO),1º trimestre 2018,Ensino superior completo ou equivalente,62.0
Porto Velho (RO),1º trimestre 2018,Não determinado,0.0
Porto Velho (RO),2º trimestre 2018,Sem instrução e menos de 1 ano de estudo,16.0
Porto Velho (RO),2º trimestre 2018,Ensino fundamental incompleto ou equivalente,99.0
Porto Velho (RO),2º trimestre 2018,Ensino fundamental completo ou equivalente,35.0
Porto Velho (RO),2º trimestre 2018,Ensino médio incompleto ou equivalente,38.0
Porto Velho (RO),2º trimestre 2018,Ensino médio completo ou equivalente,123.0
Porto Velho (RO),2º trimestre 2018,Ensino superior incompleto ou equivalente,29.0
Porto Velho (RO),2º trimestre 2018,Ensino superior completo ou equivalente,59.0
Porto Velho (RO),2º trimestre 2018,Não determinado,0.0
Porto Velho (RO),3º trimestre 2018,Sem instrução e menos de 1 ano de estudo,16.0
Porto Velho (RO),3º trimestre 2018,Ensino fundamental incompleto ou equivalente,109.0
Porto Velho (RO),3º trimestre 2018,Ensino fundamental completo ou equivalente,29.0
Porto Velho (RO),3º trimestre 2018,Ensino médio incompleto ou equivalente,37.0
Porto Velho (RO),3º trimestre 2018,Ensino médio completo ou equivalente,126.0
