municipio,trimestre,Sexo,quantidade de gênero
Porto Velho (RO),1º trimestre 2012,Homens,173.0
Porto Velho (RO),1º trimestre 2012,Mulheres,168.0
Porto Velho (RO),2º trimestre 2012,Homens,169.0
Porto Velho (RO),2º trimestre 2012,Mulheres,171.0
Porto Velho (RO),3º trimestre 2012,Homens,173.0
Porto Velho (RO),3º trimestre 2012,Mulheres,175.0
Porto Velho (RO),4º trimestre 2012,Homens,169.0
Porto Velho (RO),4º trimestre 2012,Mulheres,177.0
Porto Velho (RO),1º trimestre 2013,Homens,178.0
Porto Velho (RO),1º trimestre 2013,Mulheres,176.0
Porto Velho (RO),2º trimestre 2013,Homens,177.0
Porto Velho (RO),2º trimestre 2013,Mulheres,177.0
Porto Velho (RO),3º trimestre 2013,Homens,177.0
Porto Velho (RO),3º trimestre 2013,Mulheres,180.0
Porto Velho (RO),4º trimestre 2013,Homens,181.0
Porto Velho (RO),4º trimestre 2013,Mulheres,181.0
Porto Velho (RO),1º trimestre 2014,Homens,182.0
Porto Velho (RO),1º trimestre 2014,Mulheres,176.0
Porto Velho (RO),2º trimestre 2014,Homens,182.0
Porto Velho (RO),2º trimestre 2014,Mulheres,183.0
Porto Velho (RO),3º trimestre 2014,Homens,185.0
Porto Velho (RO),3º trimestre 2014,Mulheres,187.0
Porto Velho (RO),4º trimestre 2014,Homens,185.0
Porto Velho (RO),4º trimestre 2014,Mulheres,186.0
Porto Velho (RO),1º trimestre 2015,Homens,185.0
Porto Velho (RO),1º trimestre 2015,Mulheres,189.0
Porto Velho (RO),2º trimestre 2015,Homens,187.0
Porto Velho (RO),2º trimestre 2015,Mulheres,188.0
Porto Velho (RO),3º trimestre 2015,Homens,185.0
Porto Velho (RO),3º trimestre 2015,Mulheres,188.0
Porto Velho (RO),4º trimestre 2015,Homens,192.0
Porto Velho (RO),4º trimestre 2015,Mulheres,188.0
Porto Velho (RO),1º trimestre 2016,Homens,186.0
Porto Velho (RO),1º trimestre 2016,Mulheres,194.0
Porto Velho (RO),2º trimestre 2016,Homens,183.0
Porto Velho (RO),2º trimestre 2016,Mulheres,197.0
Porto Velho (RO),3º trimestre 2016,Homens,177.0
Porto Velho (RO),3º trimestre 2016,Mulheres,197.0
Porto Velho (RO),4º trimestre 2016,Homens,181.0
Porto Velho (RO),4º trimestre 2016,Mulheres,200.0
Porto Velho (RO),1º trimestre 2017,Homens,182.0
Porto Velho (RO),1º trimestre 2017,Mulheres,199.0
Porto Velho (RO),2º trimestre 2017,Homens,189.0
Porto Velho (RO),2º trimestre 2017,Mulheres,198.0
Porto Velho (RO),3º trimestre 2017,Homens,191.0
Porto Velho (RO),3º trimestre 2017,Mulheres,197.0
Porto Velho (RO),4º trimestre 2017,Homens,193.0
Porto Velho (RO),4º trimestre 2017,Mulheres,200.0
Porto Velho (RO),1º trimestre 2018,Homens,195.0
Porto Velho (RO),1º trimestre 2018,Mulheres,202.0
Porto Velho (RO),2º trimestre 2018,Homens,200.0
Porto Velho (RO),2º trimestre 2018,Mulheres,199.0
Porto Velho (RO),3º trimestre 2018,Homens,200.0
Porto Velho (RO),3º trimestre 2018,Mulheres,204.0
Porto Velho (RO),4º trimestre 2018,Homens,204.0
Porto Velho (RO),4º trimestre 2018,Mulheres,204.0
Porto Velho (RO),1º trimestre 2019,Homens,204.0
Porto Velho (RO),1º trimestre 2019,Mulheres,210.0
Porto Velho (RO),2º trimestre 2019,Homens,207.0
Porto Velho (RO),2º trimestre 2019,Mulheres,213.0
Porto Velho (RO),3º trimestre 2019,Homens,201.0
Porto Velho (RO),3º trimestre 2019,Mulheres,220.0
Porto Velho (RO),4º trimestre 2019,Homens,202.0
Porto Velho (RO),4º trimestre 2019,Mulheres,217.0
Porto Velho (RO),1º trimestre 2020,Homens,200.0
Porto Velho (RO),1º trimestre 2020,Mulheres,210.0
Porto Velho (RO),2º trimestre 2020,Homens,0.0
Porto Velho (RO),2º trimestre 2020,Mulheres,0.0
Porto Velho (RO),3º trimestre 2020,Homens,0.0
Porto Velho (RO),3º trimestre 2020,Mulheres,0.0
Porto Velho (RO),4º trimestre 2020,Homens,0.0
Porto Velho (RO),4º trimestre 2020,Mulheres,0.0
Porto Velho (RO),1º trimestre 2021,Homens,0.0
Porto Velho (RO),1º trimestre 2021,Mulheres,0.0
Porto Velho (RO),2º trimestre 2021,Homens,0.0
Porto Velho (RO),2º trimestre 2021,Mulheres,0.0
Porto Velho (RO),3º trimestre 2021,Homens,0.0
Porto Velho (RO),3º trimestre 2021,Mulheres,0.0
Porto Velho (RO),4º trimestre 2021,Homens,0.0
Porto Velho (RO),4º trimestre 2021,Mulheres,0.0
Porto Velho (RO),1º trimestre 2022,Homens,0.0
Porto Velho (RO),1º trimestre 2022,Mulheres,0.0
Porto Velho (RO),2º trimestre 2022,Homens,210.0
Porto Velho (RO),2º trimestre 2022,Mulheres,231.0
Porto Velho (RO),3º trimestre 2022,Homens,218.0
Porto Velho (RO),3º trimestre 2022,Mulheres,227.0
Porto Velho (RO),4º trimestre 2022,Homens,220.0
Porto Velho (RO),4º trimestre 2022,Mulheres,228.0
Porto Velho (RO),1º trimestre 2023,Homens,224.0
Porto Velho (RO),1º trimestre 2023,Mulheres,231.0
Porto Velho (RO),2º trimestre 2023,Homens,224.0
Porto Velho (RO),2º trimestre 2023,Mulheres,233.0
Porto Velho (RO),3º trimestre 2023,Homens,228.0
Porto Velho (RO),3º trimestre 2023,Mulheres,236.0
Porto Velho (RO),4º trimestre 2023,Homens,235.0
Porto Velho (RO),4º trimestre 2023,Mulheres,242.0
Porto Velho (RO),1º trimestre 2024,Homens,235.0
Porto Velho (RO),1º trimestre 2024,Mulheres,248.0
Porto Velho (RO),2º trimestre 2024,Homens,235.0
Porto Velho (RO),2º trimestre 2024,Mulheres,245.0
Porto Velho (RO),3º trimestre 2024,Homens,237.0
Porto Velho (RO),3º trimestre 2024,Mulheres,247.0
Porto Velho (RO),4º trimestre 2024,Homens,235.0
Porto Velho (RO),4º trimestre 2024,Mulheres,247.0
Rio Branco (AC),1º trimestre 2012,Homens,125.0
Rio Branco (AC),1º trimestre 2012,Mulheres,140.0
Rio Branco (AC),2º trimestre 2012,Homens,127.0
Rio Branco (AC),2º trimestre 2012,Mulheres,139.0
Rio Branco (AC),3º trimestre 2012,Homens,127.0
Rio Branco (AC),3º trimestre 2012,Mulheres,143.0
Rio Branco (AC),4º trimestre 2012,Homens,127.0
Rio Branco (AC),4º trimestre 2012,Mulheres,141.0
Rio Branco (AC),1º trimestre 2013,Homens,126.0
Rio Branco (AC),1º trimestre 2013,Mulheres,144.0
Rio Branco (AC),2º trimestre 2013,Homens,128.0
Rio Branco (AC),2º trimestre 2013,Mulheres,145.0
Rio Branco (AC),3º trimestre 2013,Homens,130.0
Rio Branco (AC),3º trimestre 2013,Mulheres,144.0
Rio Branco (AC),4º trimestre 2013,Homens,131.0
Rio Branco (AC),4º trimestre 2013,Mulheres,144.0
Rio Branco (AC),1º trimestre 2014,Homens,131.0
Rio Branco (AC),1º trimestre 2014,Mulheres,147.0
Rio Branco (AC),2º trimestre 2014,Homens,134.0
Rio Branco (AC),2º trimestre 2014,Mulheres,143.0
Rio Branco (AC),3º trimestre 2014,Homens,135.0
Rio Branco (AC),3º trimestre 2014,Mulheres,145.0
Rio Branco (AC),4º trimestre 2014,Homens,135.0
Rio Branco (AC),4º trimestre 2014,Mulheres,146.0
Rio Branco (AC),1º trimestre 2015,Homens,136.0
Rio Branco (AC),1º trimestre 2015,Mulheres,143.0
Rio Branco (AC),2º trimestre 2015,Homens,136.0
Rio Branco (AC),2º trimestre 2015,Mulheres,143.0
Rio Branco (AC),3º trimestre 2015,Homens,137.0
Rio Branco (AC),3º trimestre 2015,Mulheres,147.0
Rio Branco (AC),4º trimestre 2015,Homens,137.0
Rio Branco (AC),4º trimestre 2015,Mulheres,150.0
Rio Branco (AC),1º trimestre 2016,Homens,135.0
Rio Branco (AC),1º trimestre 2016,Mulheres,152.0
Rio Branco (AC),2º trimestre 2016,Homens,137.0
Rio Branco (AC),2º trimestre 2016,Mulheres,154.0
Rio Branco (AC),3º trimestre 2016,Homens,141.0
Rio Branco (AC),3º trimestre 2016,Mulheres,154.0
Rio Branco (AC),4º trimestre 2016,Homens,143.0
Rio Branco (AC),4º trimestre 2016,Mulheres,156.0
Rio Branco (AC),1º trimestre 2017,Homens,146.0
Rio Branco (AC),1º trimestre 2017,Mulheres,158.0
Rio Branco (AC),2º trimestre 2017,Homens,146.0
Rio Branco (AC),2º trimestre 2017,Mulheres,158.0
Rio Branco (AC),3º trimestre 2017,Homens,143.0
Rio Branco (AC),3º trimestre 2017,Mulheres,159.0
Rio Branco (AC),4º trimestre 2017,Homens,147.0
Rio Branco (AC),4º trimestre 2017,Mulheres,156.0
Rio Branco (AC),1º trimestre 2018,Homens,150.0
Rio Branco (AC),1º trimestre 2018,Mulheres,158.0
Rio Branco (AC),2º trimestre 2018,Homens,149.0
Rio Branco (AC),2º trimestre 2018,Mulheres,159.0
Rio Branco (AC),3º trimestre 2018,Homens,150.0
Rio Branco (AC),3º trimestre 2018,Mulheres,159.0
Rio Branco (AC),4º trimestre 2018,Homens,151.0
Rio Branco (AC),4º trimestre 2018,Mulheres,163.0
Rio Branco (AC),1º trimestre 2019,Homens,151.0
Rio Branco (AC),1º trimestre 2019,Mulheres,165.0
Rio Branco (AC),2º trimestre 2019,Homens,147.0
Rio Branco (AC),2º trimestre 2019,Mulheres,167.0
Rio Branco (AC),3º trimestre 2019,Homens,146.0
Rio Branco (AC),3º trimestre 2019,Mulheres,167.0
Rio Branco (AC),4º trimestre 2019,Homens,147.0
Rio Branco (AC),4º trimestre 2019,Mulheres,170.0
Rio Branco (AC),1º trimestre 2020,Homens,145.0
Rio Branco (AC),1º trimestre 2020,Mulheres,169.0
Rio Branco (AC),2º trimestre 2020,Homens,0.0
Rio Branco (AC),2º trimestre 2020,Mulheres,0.0
Rio Branco (AC),3º trimestre 2020,Homens,0.0
Rio Branco (AC),3º trimestre 2020,Mulheres,0.0
Rio Branco (AC),4º trimestre 2020,Homens,0.0
Rio Branco (AC),4º trimestre 2020,Mulheres,0.0
Rio Branco (AC),1º trimestre 2021,Homens,0.0
