municipio,trimestre,Grupo,quantidade de idade
Porto Velho (RO),1º trimestre 2012,14 a 17 anos,38.0
Porto Velho (RO),1º trimestre 2012,18 a 24 anos,60.0
Porto Velho (RO),1º trimestre 2012,25 a 39 anos,123.0
Porto Velho (RO),1º trimestre 2012,40 a 59 anos,94.0
Porto Velho (RO),1º trimestre 2012,60 anos ou mais,26.0
Porto Velho (RO),2º trimestre 2012,14 a 17 anos,38.0
Porto Velho (RO),2º trimestre 2012,18 a 24 anos,60.0
Porto Velho (RO),2º trimestre 2012,25 a 39 anos,117.0
Porto Velho (RO),2º trimestre 2012,40 a 59 anos,97.0
Porto Velho (RO),2º trimestre 2012,60 anos ou mais,29.0
Porto Velho (RO),3º trimestre 2012,14 a 17 anos,36.0
Porto Velho (RO),3º trimestre 2012,18 a 24 anos,63.0
Porto Velho (RO),3º trimestre 2012,25 a 39 anos,117.0
Porto Velho (RO),3º trimestre 2012,40 a 59 anos,102.0
Porto Velho (RO),3º trimestre 2012,60 anos ou mais,29.0
Porto Velho (RO),4º trimestre 2012,14 a 17 anos,38.0
Porto Velho (RO),4º trimestre 2012,18 a 24 anos,64.0
Porto Velho (RO),4º trimestre 2012,25 a 39 anos,119.0
Porto Velho (RO),4º trimestre 2012,40 a 59 anos,97.0
Porto Velho (RO),4º trimestre 2012,60 anos ou mais,29.0
Porto Velho (RO),1º trimestre 2013,14 a 17 anos,37.0
Porto Velho (RO),1º trimestre 2013,18 a 24 anos,64.0
Porto Velho (RO),1º trimestre 2013,25 a 39 anos,124.0
Porto Velho (RO),1º trimestre 2013,40 a 59 anos,100.0
Porto Velho (RO),1º trimestre 2013,60 anos ou mais,31.0
Porto Velho (RO),2º trimestre 2013,14 a 17 anos,34.0
Porto Velho (RO),2º trimestre 2013,18 a 24 anos,67.0
Porto Velho (RO),2º trimestre 2013,25 a 39 anos,125.0
Porto Velho (RO),2º trimestre 2013,40 a 59 anos,98.0
Porto Velho (RO),2º trimestre 2013,60 anos ou mais,30.0
Porto Velho (RO),3º trimestre 2013,14 a 17 anos,37.0
Porto Velho (RO),3º trimestre 2013,18 a 24 anos,70.0
Porto Velho (RO),3º trimestre 2013,25 a 39 anos,124.0
Porto Velho (RO),3º trimestre 2013,40 a 59 anos,97.0
Porto Velho (RO),3º trimestre 2013,60 anos ou mais,29.0
Porto Velho (RO),4º trimestre 2013,14 a 17 anos,36.0
Porto Velho (RO),4º trimestre 2013,18 a 24 anos,65.0
Porto Velho (RO),4º trimestre 2013,25 a 39 anos,131.0
Porto Velho (RO),4º trimestre 2013,40 a 59 anos,101.0
Porto Velho (RO),4º trimestre 2013,60 anos ou mais,29.0
Porto Velho (RO),1º trimestre 2014,14 a 17 anos,38.0
Porto Velho (RO),1º trimestre 2014,18 a 24 anos,65.0
Porto Velho (RO),1º trimestre 2014,25 a 39 anos,127.0
Porto Velho (RO),1º trimestre 2014,40 a 59 anos,102.0
Porto Velho (RO),1º trimestre 2014,60 anos ou mais,27.0
Porto Velho (RO),2º trimestre 2014,14 a 17 anos,40.0
Porto Velho (RO),2º trimestre 2014,18 a 24 anos,68.0
Porto Velho (RO),2º trimestre 2014,25 a 39 anos,123.0
Porto Velho (RO),2º trimestre 2014,40 a 59 anos,104.0
Porto Velho (RO),2º trimestre 2014,60 anos ou mais,30.0
Porto Velho (RO),3º trimestre 2014,14 a 17 anos,40.0
Porto Velho (RO),3º trimestre 2014,18 a 24 anos,65.0
Porto Velho (RO),3º trimestre 2014,25 a 39 anos,128.0
Porto Velho (RO),3º trimestre 2014,40 a 59 anos,108.0
Porto Velho (RO),3º trimestre 2014,60 anos ou mais,32.0
Porto Velho (RO),4º trimestre 2014,14 a 17 anos,40.0
Porto Velho (RO),4º trimestre 2014,18 a 24 anos,64.0
Porto Velho (RO),4º trimestre 2014,25 a 39 anos,125.0
Porto Velho (RO),4º trimestre 2014,40 a 59 anos,110.0
Porto Velho (RO),4º trimestre 2014,60 anos ou mais,33.0
Porto Velho (RO),1º trimestre 2015,14 a 17 anos,35.0
Porto Velho (RO),1º trimestre 2015,18 a 24 anos,68.0
Porto Velho (RO),1º trimestre 2015,25 a 39 anos,126.0
Porto Velho (RO),1º trimestre 2015,40 a 59 anos,109.0
Porto Velho (RO),1º trimestre 2015,60 anos ou mais,36.0
Porto Velho (RO),2º trimestre 2015,14 a 17 anos,38.0
Porto Velho (RO),2º trimestre 2015,18 a 24 anos,71.0
Porto Velho (RO),2º trimestre 2015,25 a 39 anos,120.0
Porto Velho (RO),2º trimestre 2015,40 a 59 anos,110.0
Porto Velho (RO),2º trimestre 2015,60 anos ou mais,36.0
Porto Velho (RO),3º trimestre 2015,14 a 17 anos,34.0
Porto Velho (RO),3º trimestre 2015,18 a 24 anos,71.0
Porto Velho (RO),3º trimestre 2015,25 a 39 anos,127.0
Porto Velho (RO),3º trimestre 2015,40 a 59 anos,106.0
Porto Velho (RO),3º trimestre 2015,60 anos ou mais,35.0
Porto Velho (RO),4º trimestre 2015,14 a 17 anos,33.0
Porto Velho (RO),4º trimestre 2015,18 a 24 anos,71.0
Porto Velho (RO),4º trimestre 2015,25 a 39 anos,133.0
Porto Velho (RO),4º trimestre 2015,40 a 59 anos,107.0
Porto Velho (RO),4º trimestre 2015,60 anos ou mais,36.0
Porto Velho (RO),1º trimestre 2016,14 a 17 anos,35.0
Porto Velho (RO),1º trimestre 2016,18 a 24 anos,67.0
Porto Velho (RO),1º trimestre 2016,25 a 39 anos,138.0
Porto Velho (RO),1º trimestre 2016,40 a 59 anos,107.0
Porto Velho (RO),1º trimestre 2016,60 anos ou mais,34.0
Porto Velho (RO),2º trimestre 2016,14 a 17 anos,36.0
Porto Velho (RO),2º trimestre 2016,18 a 24 anos,68.0
Porto Velho (RO),2º trimestre 2016,25 a 39 anos,131.0
Porto Velho (RO),2º trimestre 2016,40 a 59 anos,108.0
Porto Velho (RO),2º trimestre 2016,60 anos ou mais,36.0
Porto Velho (RO),3º trimestre 2016,14 a 17 anos,34.0
Porto Velho (RO),3º trimestre 2016,18 a 24 anos,66.0
Porto Velho (RO),3º trimestre 2016,25 a 39 anos,136.0
Porto Velho (RO),3º trimestre 2016,40 a 59 anos,108.0
Porto Velho (RO),3º trimestre 2016,60 anos ou mais,32.0
Porto Velho (RO),4º trimestre 2016,14 a 17 anos,35.0
Porto Velho (RO),4º trimestre 2016,18 a 24 anos,65.0
Porto Velho (RO),4º trimestre 2016,25 a 39 anos,138.0
Porto Velho (RO),4º trimestre 2016,40 a 59 anos,109.0
Porto Velho (RO),4º trimestre 2016,60 anos ou mais,33.0
Porto Velho (RO),1º trimestre 2017,14 a 17 anos,34.0
Porto Velho (RO),1º trimestre 2017,18 a 24 anos,65.0
Porto Velho (RO),1º trimestre 2017,25 a 39 anos,135.0
Porto Velho (RO),1º trimestre 2017,40 a 59 anos,108.0
Porto Velho (RO),1º trimestre 2017,60 anos ou mais,39.0
Porto Velho (RO),2º trimestre 2017,14 a 17 anos,30.0
