municipio,trimestre,Ocupação no trabalho,quantidade de ocupação no trabalho
Rondônia,1º trimestre 2012,"Agricultura, pecuária, produção florestal, pesca e aquicultura",149.0
Rondônia,1º trimestre 2012,Indústria geral,66.0
Rondônia,1º trimestre 2012,Indústria de transformação,52.0
Rondônia,1º trimestre 2012,Construção,63.0
Rondônia,1º trimestre 2012,"Comércio, reparação de veículos automotores e motocicletas",134.0
Rondônia,1º trimestre 2012,"Transporte, armazenagem e correio",21.0
Rondônia,1º trimestre 2012,Alojamento e alimentação,25.0
Rondônia,1º trimestre 2012,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",51.0
Rondônia,1º trimestre 2012,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",126.0
Rondônia,1º trimestre 2012,Outros serviços,26.0
Rondônia,1º trimestre 2012,Serviços domésticos,41.0
Rondônia,1º trimestre 2012,Atividades mal definidas,0.0
Rondônia,2º trimestre 2012,"Agricultura, pecuária, produção florestal, pesca e aquicultura",173.0
Rondônia,2º trimestre 2012,Indústria geral,70.0
Rondônia,2º trimestre 2012,Indústria de transformação,55.0
Rondônia,2º trimestre 2012,Construção,76.0
Rondônia,2º trimestre 2012,"Comércio, reparação de veículos automotores e motocicletas",129.0
Rondônia,2º trimestre 2012,"Transporte, armazenagem e correio",29.0
Rondônia,2º trimestre 2012,Alojamento e alimentação,23.0
Rondônia,2º trimestre 2012,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",42.0
Rondônia,2º trimestre 2012,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",126.0
Rondônia,2º trimestre 2012,Outros serviços,22.0
Rondônia,2º trimestre 2012,Serviços domésticos,44.0
Rondônia,2º trimestre 2012,Atividades mal definidas,0.0
Rondônia,3º trimestre 2012,"Agricultura, pecuária, produção florestal, pesca e aquicultura",160.0
Rondônia,3º trimestre 2012,Indústria geral,73.0
Rondônia,3º trimestre 2012,Indústria de transformação,58.0
Rondônia,3º trimestre 2012,Construção,69.0
Rondônia,3º trimestre 2012,"Comércio, reparação de veículos automotores e motocicletas",140.0
Rondônia,3º trimestre 2012,"Transporte, armazenagem e correio",28.0
Rondônia,3º trimestre 2012,Alojamento e alimentação,27.0
Rondônia,3º trimestre 2012,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",47.0
Rondônia,3º trimestre 2012,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",124.0
Rondônia,3º trimestre 2012,Outros serviços,29.0
Rondônia,3º trimestre 2012,Serviços domésticos,40.0
Rondônia,3º trimestre 2012,Atividades mal definidas,0.0
Rondônia,4º trimestre 2012,"Agricultura, pecuária, produção florestal, pesca e aquicultura",172.0
Rondônia,4º trimestre 2012,Indústria geral,72.0
Rondônia,4º trimestre 2012,Indústria de transformação,53.0
Rondônia,4º trimestre 2012,Construção,74.0
Rondônia,4º trimestre 2012,"Comércio, reparação de veículos automotores e motocicletas",159.0
Rondônia,4º trimestre 2012,"Transporte, armazenagem e correio",26.0
Rondônia,4º trimestre 2012,Alojamento e alimentação,25.0
Rondônia,4º trimestre 2012,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",44.0
Rondônia,4º trimestre 2012,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",124.0
Rondônia,4º trimestre 2012,Outros serviços,22.0
Rondônia,4º trimestre 2012,Serviços domésticos,43.0
Rondônia,4º trimestre 2012,Atividades mal definidas,0.0
Rondônia,1º trimestre 2013,"Agricultura, pecuária, produção florestal, pesca e aquicultura",161.0
Rondônia,1º trimestre 2013,Indústria geral,70.0
Rondônia,1º trimestre 2013,Indústria de transformação,52.0
Rondônia,1º trimestre 2013,Construção,65.0
Rondônia,1º trimestre 2013,"Comércio, reparação de veículos automotores e motocicletas",164.0
Rondônia,1º trimestre 2013,"Transporte, armazenagem e correio",33.0
Rondônia,1º trimestre 2013,Alojamento e alimentação,22.0
Rondônia,1º trimestre 2013,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",40.0
Rondônia,1º trimestre 2013,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",126.0
Rondônia,1º trimestre 2013,Outros serviços,21.0
Rondônia,1º trimestre 2013,Serviços domésticos,44.0
Rondônia,1º trimestre 2013,Atividades mal definidas,0.0
Rondônia,2º trimestre 2013,"Agricultura, pecuária, produção florestal, pesca e aquicultura",180.0
Rondônia,2º trimestre 2013,Indústria geral,68.0
Rondônia,2º trimestre 2013,Indústria de transformação,48.0
Rondônia,2º trimestre 2013,Construção,65.0
Rondônia,2º trimestre 2013,"Comércio, reparação de veículos automotores e motocicletas",148.0
Rondônia,2º trimestre 2013,"Transporte, armazenagem e correio",29.0
Rondônia,2º trimestre 2013,Alojamento e alimentação,26.0
Rondônia,2º trimestre 2013,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",44.0
Rondônia,2º trimestre 2013,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",134.0
Rondônia,2º trimestre 2013,Outros serviços,24.0
Rondônia,2º trimestre 2013,Serviços domésticos,42.0
Rondônia,2º trimestre 2013,Atividades mal definidas,0.0
Rondônia,3º trimestre 2013,"Agricultura, pecuária, produção florestal, pesca e aquicultura",163.0
Rondônia,3º trimestre 2013,Indústria geral,63.0
Rondônia,3º trimestre 2013,Indústria de transformação,48.0
