municipio,posição de ocupação,trimestre,quantidade de posição de ocupação
Porto Velho (RO),Empregado,1º trimestre 2012,150.0
Porto Velho (RO),Empregado,2º trimestre 2012,147.0
Porto Velho (RO),Empregado,3º trimestre 2012,157.0
Porto Velho (RO),Empregado,4º trimestre 2012,153.0
Porto Velho (RO),Empregado,1º trimestre 2013,162.0
Porto Velho (RO),Empregado,2º trimestre 2013,160.0
Porto Velho (RO),Empregado,3º trimestre 2013,159.0
Porto Velho (RO),Empregado,4º trimestre 2013,154.0
Porto Velho (RO),Empregado,1º trimestre 2014,160.0
Porto Velho (RO),Empregado,2º trimestre 2014,154.0
Porto Velho (RO),Empregado,3º trimestre 2014,150.0
Porto Velho (RO),Empregado,4º trimestre 2014,153.0
Porto Velho (RO),Empregado,1º trimestre 2015,160.0
Porto Velho (RO),Empregado,2º trimestre 2015,149.0
Porto Velho (RO),Empregado,3º trimestre 2015,154.0
Porto Velho (RO),Empregado,4º trimestre 2015,159.0
Porto Velho (RO),Empregado,1º trimestre 2016,150.0
Porto Velho (RO),Empregado,2º trimestre 2016,160.0
Porto Velho (RO),Empregado,3º trimestre 2016,154.0
Porto Velho (RO),Empregado,4º trimestre 2016,150.0
Porto Velho (RO),Empregado,1º trimestre 2017,149.0
Porto Velho (RO),Empregado,2º trimestre 2017,155.0
Porto Velho (RO),Empregado,3º trimestre 2017,159.0
Porto Velho (RO),Empregado,4º trimestre 2017,158.0
Porto Velho (RO),Empregado,1º trimestre 2018,154.0
Porto Velho (RO),Empregado,2º trimestre 2018,149.0
Porto Velho (RO),Empregado,3º trimestre 2018,154.0
Porto Velho (RO),Empregado,4º trimestre 2018,163.0
Porto Velho (RO),Empregado,1º trimestre 2019,152.0
Porto Velho (RO),Empregado,2º trimestre 2019,148.0
Porto Velho (RO),Empregado,3º trimestre 2019,148.0
Porto Velho (RO),Empregado,4º trimestre 2019,153.0
Porto Velho (RO),Empregado,1º trimestre 2020,152.0
Porto Velho (RO),Empregado,2º trimestre 2020,0.0
Porto Velho (RO),Empregado,3º trimestre 2020,0.0
Porto Velho (RO),Empregado,4º trimestre 2020,0.0
Porto Velho (RO),Empregado,1º trimestre 2021,0.0
Porto Velho (RO),Empregado,2º trimestre 2021,0.0
Porto Velho (RO),Empregado,3º trimestre 2021,0.0
Porto Velho (RO),Empregado,4º trimestre 2021,0.0
Porto Velho (RO),Empregado,1º trimestre 2022,0.0
Porto Velho (RO),Empregado,2º trimestre 2022,154.0
Porto Velho (RO),Empregado,3º trimestre 2022,156.0
Porto Velho (RO),Empregado,4º trimestre 2022,158.0
Porto Velho (RO),Empregado,1º trimestre 2023,151.0
Porto Velho (RO),Empregado,2º trimestre 2023,144.0
Porto Velho (RO),Empregado,3º trimestre 2023,150.0
Porto Velho (RO),Empregado,4º trimestre 2023,157.0
Porto Velho (RO),Empregado,1º trimestre 2024,172.0
Porto Velho (RO),Empregado,2º trimestre 2024,166.0
Porto Velho (RO),Empregado,3º trimestre 2024,175.0
Porto Velho (RO),Empregado,4º trimestre 2024,167.0
Porto Velho (RO),Empregador,1º trimestre 2012,4.0
Porto Velho (RO),Empregador,2º trimestre 2012,4.0
Porto Velho (RO),Empregador,3º trimestre 2012,4.0
Porto Velho (RO),Empregador,4º trimestre 2012,4.0
Porto Velho (RO),Empregador,1º trimestre 2013,5.0
Porto Velho (RO),Empregador,2º trimestre 2013,4.0
Porto Velho (RO),Empregador,3º trimestre 2013,4.0
Porto Velho (RO),Empregador,4º trimestre 2013,4.0
Porto Velho (RO),Empregador,1º trimestre 2014,5.0
Porto Velho (RO),Empregador,2º trimestre 2014,6.0
Porto Velho (RO),Empregador,3º trimestre 2014,6.0
Porto Velho (RO),Empregador,4º trimestre 2014,6.0
Porto Velho (RO),Empregador,1º trimestre 2015,4.0
Porto Velho (RO),Empregador,2º trimestre 2015,4.0
Porto Velho (RO),Empregador,3º trimestre 2015,2.0
Porto Velho (RO),Empregador,4º trimestre 2015,4.0
Porto Velho (RO),Empregador,1º trimestre 2016,3.0
Porto Velho (RO),Empregador,2º trimestre 2016,6.0
Porto Velho (RO),Empregador,3º trimestre 2016,4.0
Porto Velho (RO),Empregador,4º trimestre 2016,4.0
Porto Velho (RO),Empregador,1º trimestre 2017,4.0
Porto Velho (RO),Empregador,2º trimestre 2017,5.0
Porto Velho (RO),Empregador,3º trimestre 2017,4.0
Porto Velho (RO),Empregador,4º trimestre 2017,8.0
Porto Velho (RO),Empregador,1º trimestre 2018,6.0
Porto Velho (RO),Empregador,2º trimestre 2018,9.0
Porto Velho (RO),Empregador,3º trimestre 2018,7.0
Porto Velho (RO),Empregador,4º trimestre 2018,8.0
Porto Velho (RO),Empregador,1º trimestre 2019,6.0
Porto Velho (RO),Empregador,2º trimestre 2019,5.0
Porto Velho (RO),Empregador,3º trimestre 2019,7.0
Porto Velho (RO),Empregador,4º trimestre 2019,5.0
Porto Velho (RO),Empregador,1º trimestre 2020,6.0
Porto Velho (RO),Empregador,2º trimestre 2020,0.0
Porto Velho (RO),Empregador,3º trimestre 2020,0.0
Porto Velho (RO),Empregador,4º trimestre 2020,0.0
Porto Velho (RO),Empregador,1º trimestre 2021,0.0
Porto Velho (RO),Empregador,2º trimestre 2021,0.0
Porto Velho (RO),Empregador,3º trimestre 2021,0.0
Porto Velho (RO),Empregador,4º trimestre 2021,0.0
Porto Velho (RO),Empregador,1º trimestre 2022,0.0
Porto Velho (RO),Empregador,2º trimestre 2022,6.0
Porto Velho (RO),Empregador,3º trimestre 2022,5.0
Porto Velho (RO),Empregador,4º trimestre 2022,3.0
Porto Velho (RO),Empregador,1º trimestre 2023,4.0
Porto Velho (RO),Empregador,2º trimestre 2023,2.0
Porto Velho (RO),Empregador,3º trimestre 2023,6.0
Porto Velho (RO),Empregador,4º trimestre 2023,5.0
Porto Velho (RO),Empregador,1º trimestre 2024,5.0
Porto Velho (RO),Empregador,2º trimestre 2024,4.0
Porto Velho (RO),Empregador,3º trimestre 2024,7.0
Porto Velho (RO),Empregador,4º trimestre 2024,4.0
Porto Velho (RO),Conta própria,1º trimestre 2012,46.0
Porto Velho (RO),Conta própria,2º trimestre 2012,45.0
Porto Velho (RO),Conta própria,3º trimestre 2012,43.0
Porto Velho (RO),Conta própria,4º trimestre 2012,50.0
Porto Velho (RO),Conta própria,1º trimestre 2013,43.0
Porto Velho (RO),Conta própria,2º trimestre 2013,46.0
Porto Velho (RO),Conta própria,3º trimestre 2013,49.0
Porto Velho (RO),Conta própria,4º trimestre 2013,57.0
Porto Velho (RO),Conta própria,1º trimestre 2014,52.0
Porto Velho (RO),Conta própria,2º trimestre 2014,52.0
Porto Velho (RO),Conta própria,3º trimestre 2014,55.0
Porto Velho (RO),Conta própria,4º trimestre 2014,51.0
Porto Velho (RO),Conta própria,1º trimestre 2015,52.0
Porto Velho (RO),Conta própria,2º trimestre 2015,51.0
Porto Velho (RO),Conta própria,3º trimestre 2015,55.0
Porto Velho (RO),Conta própria,4º trimestre 2015,64.0
Porto Velho (RO),Conta própria,1º trimestre 2016,56.0
Porto Velho (RO),Conta própria,2º trimestre 2016,54.0
Porto Velho (RO),Conta própria,3º trimestre 2016,54.0
Porto Velho (RO),Conta própria,4º trimestre 2016,56.0
Porto Velho (RO),Conta própria,1º trimestre 2017,49.0
Porto Velho (RO),Conta própria,2º trimestre 2017,55.0
Porto Velho (RO),Conta própria,3º trimestre 2017,54.0
Porto Velho (RO),Conta própria,4º trimestre 2017,56.0
Porto Velho (RO),Conta própria,1º trimestre 2018,55.0
Porto Velho (RO),Conta própria,2º trimestre 2018,51.0
Porto Velho (RO),Conta própria,3º trimestre 2018,57.0
Porto Velho (RO),Conta própria,4º trimestre 2018,55.0
Porto Velho (RO),Conta própria,1º trimestre 2019,69.0
Porto Velho (RO),Conta própria,2º trimestre 2019,67.0
Porto Velho (RO),Conta própria,3º trimestre 2019,69.0
Porto Velho (RO),Conta própria,4º trimestre 2019,69.0
Porto Velho (RO),Conta própria,1º trimestre 2020,69.0
Porto Velho (RO),Conta própria,2º trimestre 2020,0.0
Porto Velho (RO),Conta própria,3º trimestre 2020,0.0
Porto Velho (RO),Conta própria,4º trimestre 2020,0.0
Porto Velho (RO),Conta própria,1º trimestre 2021,0.0
Porto Velho (RO),Conta própria,2º trimestre 2021,0.0
Porto Velho (RO),Conta própria,3º trimestre 2021,0.0
Porto Velho (RO),Conta própria,4º trimestre 2021,0.0
Porto Velho (RO),Conta própria,1º trimestre 2022,0.0
Porto Velho (RO),Conta própria,2º trimestre 2022,91.0
Porto Velho (RO),Conta própria,3º trimestre 2022,100.0
Porto Velho (RO),Conta própria,4º trimestre 2022,100.0
Porto Velho (RO),Conta própria,1º trimestre 2023,89.0
Porto Velho (RO),Conta própria,2º trimestre 2023,94.0
Porto Velho (RO),Conta própria,3º trimestre 2023,84.0
Porto Velho (RO),Conta própria,4º trimestre 2023,71.0
Porto Velho (RO),Conta própria,1º trimestre 2024,85.0
Porto Velho (RO),Conta própria,2º trimestre 2024,92.0
Porto Velho (RO),Conta própria,3º trimestre 2024,85.0
Porto Velho (RO),Conta própria,4º trimestre 2024,92.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2012,1.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2012,3.0
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2012,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2012,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2013,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2013,3.0
