municipio,trimestre,Posição na ocupação,quantidade de posição e categoria
Rondônia,1º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico",291.0
Rondônia,1º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",205.0
Rondônia,1º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",86.0
Rondônia,1º trimestre 2012,Trabalhador doméstico,41.0
Rondônia,1º trimestre 2012,Trabalhador doméstico - com carteira de trabalho assinada,8.0
Rondônia,1º trimestre 2012,Trabalhador doméstico - sem carteira de trabalho assinada,33.0
Rondônia,1º trimestre 2012,Empregado no setor público,114.0
Rondônia,1º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",6.0
Rondônia,1º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",8.0
Rondônia,1º trimestre 2012,Empregado no setor público - militar e funcionário público estatutário,100.0
Rondônia,1º trimestre 2012,Empregador,24.0
Rondônia,1º trimestre 2012,Conta própria,195.0
Rondônia,1º trimestre 2012,Trabalhador familiar auxiliar,38.0
Rondônia,2º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico",288.0
Rondônia,2º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",203.0
Rondônia,2º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",84.0
Rondônia,2º trimestre 2012,Trabalhador doméstico,44.0
Rondônia,2º trimestre 2012,Trabalhador doméstico - com carteira de trabalho assinada,12.0
Rondônia,2º trimestre 2012,Trabalhador doméstico - sem carteira de trabalho assinada,33.0
Rondônia,2º trimestre 2012,Empregado no setor público,113.0
Rondônia,2º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",10.0
Rondônia,2º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",11.0
Rondônia,2º trimestre 2012,Empregado no setor público - militar e funcionário público estatutário,91.0
Rondônia,2º trimestre 2012,Empregador,22.0
Rondônia,2º trimestre 2012,Conta própria,213.0
Rondônia,2º trimestre 2012,Trabalhador familiar auxiliar,53.0
Rondônia,3º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico",317.0
Rondônia,3º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",223.0
Rondônia,3º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",95.0
Rondônia,3º trimestre 2012,Trabalhador doméstico,40.0
Rondônia,3º trimestre 2012,Trabalhador doméstico - com carteira de trabalho assinada,11.0
Rondônia,3º trimestre 2012,Trabalhador doméstico - sem carteira de trabalho assinada,30.0
Rondônia,3º trimestre 2012,Empregado no setor público,111.0
Rondônia,3º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",8.0
Rondônia,3º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",10.0
Rondônia,3º trimestre 2012,Empregado no setor público - militar e funcionário público estatutário,93.0
Rondônia,3º trimestre 2012,Empregador,15.0
Rondônia,3º trimestre 2012,Conta própria,209.0
Rondônia,3º trimestre 2012,Trabalhador familiar auxiliar,45.0
Rondônia,4º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico",322.0
Rondônia,4º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",224.0
Rondônia,4º trimestre 2012,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",99.0
Rondônia,4º trimestre 2012,Trabalhador doméstico,43.0
Rondônia,4º trimestre 2012,Trabalhador doméstico - com carteira de trabalho assinada,13.0
Rondônia,4º trimestre 2012,Trabalhador doméstico - sem carteira de trabalho assinada,31.0
Rondônia,4º trimestre 2012,Empregado no setor público,106.0
Rondônia,4º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",8.0
Rondônia,4º trimestre 2012,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",7.0
Rondônia,4º trimestre 2012,Empregado no setor público - militar e funcionário público estatutário,92.0
Rondônia,4º trimestre 2012,Empregador,22.0
Rondônia,4º trimestre 2012,Conta própria,214.0
Rondônia,4º trimestre 2012,Trabalhador familiar auxiliar,54.0
Rondônia,1º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico",321.0
Rondônia,1º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",227.0
Rondônia,1º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",93.0
Rondônia,1º trimestre 2013,Trabalhador doméstico,44.0
Rondônia,1º trimestre 2013,Trabalhador doméstico - com carteira de trabalho assinada,10.0
Rondônia,1º trimestre 2013,Trabalhador doméstico - sem carteira de trabalho assinada,35.0
Rondônia,1º trimestre 2013,Empregado no setor público,110.0
Rondônia,1º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",6.0
Rondônia,1º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",10.0
Rondônia,1º trimestre 2013,Empregado no setor público - militar e funcionário público estatutário,94.0
Rondônia,1º trimestre 2013,Empregador,23.0
Rondônia,1º trimestre 2013,Conta própria,202.0
Rondônia,1º trimestre 2013,Trabalhador familiar auxiliar,47.0
Rondônia,2º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico",317.0
Rondônia,2º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",234.0
Rondônia,2º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",83.0
Rondônia,2º trimestre 2013,Trabalhador doméstico,42.0
Rondônia,2º trimestre 2013,Trabalhador doméstico - com carteira de trabalho assinada,9.0
Rondônia,2º trimestre 2013,Trabalhador doméstico - sem carteira de trabalho assinada,33.0
Rondônia,2º trimestre 2013,Empregado no setor público,117.0
Rondônia,2º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",5.0
Rondônia,2º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",11.0
Rondônia,2º trimestre 2013,Empregado no setor público - militar e funcionário público estatutário,101.0
Rondônia,2º trimestre 2013,Empregador,18.0
Rondônia,2º trimestre 2013,Conta própria,217.0
Rondônia,2º trimestre 2013,Trabalhador familiar auxiliar,51.0
Rondônia,3º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico",311.0
Rondônia,3º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",234.0
Rondônia,3º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",77.0
Rondônia,3º trimestre 2013,Trabalhador doméstico,38.0
Rondônia,3º trimestre 2013,Trabalhador doméstico - com carteira de trabalho assinada,10.0
Rondônia,3º trimestre 2013,Trabalhador doméstico - sem carteira de trabalho assinada,28.0
Rondônia,3º trimestre 2013,Empregado no setor público,114.0
Rondônia,3º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",7.0
Rondônia,3º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",12.0
Rondônia,3º trimestre 2013,Empregado no setor público - militar e funcionário público estatutário,95.0
Rondônia,3º trimestre 2013,Empregador,19.0
Rondônia,3º trimestre 2013,Conta própria,223.0
Rondônia,3º trimestre 2013,Trabalhador familiar auxiliar,44.0
Rondônia,4º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico",307.0
Rondônia,4º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",227.0
Rondônia,4º trimestre 2013,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",80.0
Rondônia,4º trimestre 2013,Trabalhador doméstico,37.0
Rondônia,4º trimestre 2013,Trabalhador doméstico - com carteira de trabalho assinada,9.0
Rondônia,4º trimestre 2013,Trabalhador doméstico - sem carteira de trabalho assinada,29.0
Rondônia,4º trimestre 2013,Empregado no setor público,120.0
Rondônia,4º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",9.0
Rondônia,4º trimestre 2013,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",13.0
Rondônia,4º trimestre 2013,Empregado no setor público - militar e funcionário público estatutário,98.0
Rondônia,4º trimestre 2013,Empregador,22.0
Rondônia,4º trimestre 2013,Conta própria,222.0
Rondônia,4º trimestre 2013,Trabalhador familiar auxiliar,38.0
Rondônia,1º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico",313.0
Rondônia,1º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",231.0
Rondônia,1º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",82.0
Rondônia,1º trimestre 2014,Trabalhador doméstico,45.0
Rondônia,1º trimestre 2014,Trabalhador doméstico - com carteira de trabalho assinada,10.0
Rondônia,1º trimestre 2014,Trabalhador doméstico - sem carteira de trabalho assinada,35.0
Rondônia,1º trimestre 2014,Empregado no setor público,117.0
Rondônia,1º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",9.0
Rondônia,1º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",11.0
Rondônia,1º trimestre 2014,Empregado no setor público - militar e funcionário público estatutário,98.0
Rondônia,1º trimestre 2014,Empregador,19.0
Rondônia,1º trimestre 2014,Conta própria,221.0
Rondônia,1º trimestre 2014,Trabalhador familiar auxiliar,38.0
Rondônia,2º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico",320.0
Rondônia,2º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",230.0
Rondônia,2º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",89.0
Rondônia,2º trimestre 2014,Trabalhador doméstico,41.0
Rondônia,2º trimestre 2014,Trabalhador doméstico - com carteira de trabalho assinada,10.0
Rondônia,2º trimestre 2014,Trabalhador doméstico - sem carteira de trabalho assinada,31.0
Rondônia,2º trimestre 2014,Empregado no setor público,112.0
Rondônia,2º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",7.0
Rondônia,2º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",12.0
Rondônia,2º trimestre 2014,Empregado no setor público - militar e funcionário público estatutário,93.0
Rondônia,2º trimestre 2014,Empregador,19.0
Rondônia,2º trimestre 2014,Conta própria,210.0
Rondônia,2º trimestre 2014,Trabalhador familiar auxiliar,43.0
Rondônia,3º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico",314.0
Rondônia,3º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",242.0
Rondônia,3º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",73.0
Rondônia,3º trimestre 2014,Trabalhador doméstico,38.0
Rondônia,3º trimestre 2014,Trabalhador doméstico - com carteira de trabalho assinada,10.0
Rondônia,3º trimestre 2014,Trabalhador doméstico - sem carteira de trabalho assinada,28.0
Rondônia,3º trimestre 2014,Empregado no setor público,107.0
Rondônia,3º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",7.0
Rondônia,3º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",10.0
Rondônia,3º trimestre 2014,Empregado no setor público - militar e funcionário público estatutário,90.0
Rondônia,3º trimestre 2014,Empregador,23.0
Rondônia,3º trimestre 2014,Conta própria,232.0
Rondônia,3º trimestre 2014,Trabalhador familiar auxiliar,39.0
Rondônia,4º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico",334.0
Rondônia,4º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",241.0
Rondônia,4º trimestre 2014,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",93.0
Rondônia,4º trimestre 2014,Trabalhador doméstico,38.0
Rondônia,4º trimestre 2014,Trabalhador doméstico - com carteira de trabalho assinada,10.0
Rondônia,4º trimestre 2014,Trabalhador doméstico - sem carteira de trabalho assinada,28.0
Rondônia,4º trimestre 2014,Empregado no setor público,110.0
Rondônia,4º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",7.0
Rondônia,4º trimestre 2014,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",11.0
Rondônia,4º trimestre 2014,Empregado no setor público - militar e funcionário público estatutário,92.0
Rondônia,4º trimestre 2014,Empregador,27.0
Rondônia,4º trimestre 2014,Conta própria,222.0
Rondônia,4º trimestre 2014,Trabalhador familiar auxiliar,43.0
